Date,Value,Open,High,Low,Vol.,Change %
02/20/2012,1734.00,1723.78,1737.30,1723.67,,0.67%
02/17/2012,1722.45,1728.84,1735.95,1717.45,,-0.36%
02/16/2012,1728.70,1727.79,1730.01,1705.49,,-0.02%
02/15/2012,1729.01,1719.62,1737.47,1718.52,,0.52%
02/14/2012,1720.10,1722.96,1727.81,1712.20,,-0.14%
02/13/2012,1722.50,1725.30,1733.61,1716.47,,0.15%
02/10/2012,1719.85,1731.54,1734.80,1704.14,,-0.56%
02/09/2012,1729.60,1733.70,1751.90,1725.69,,-0.23%
02/08/2012,1733.55,1745.76,1751.86,1724.95,,-0.74%
02/07/2012,1746.50,1719.80,1750.20,1709.79,,1.52%
02/06/2012,1720.30,1726.30,1738.09,1711.79,,-0.29%
02/03/2012,1725.30,1760.06,1763.76,1724.35,,-1.97%
02/02/2012,1759.99,1744.20,1761.57,1741.49,,0.94%
02/01/2012,1743.60,1738.75,1751.56,1732.95,,0.24%
01/31/2012,1739.43,1729.19,1747.79,1726.80,,0.54%
01/30/2012,1730.05,1738.05,1739.35,1716.69,,-0.51%
01/27/2012,1738.89,1720.49,1738.91,1714.80,,1.01%
01/26/2012,1721.50,1710.72,1730.62,1703.65,,0.56%
01/25/2012,1711.90,1665.69,1713.30,1649.19,,2.80%
01/24/2012,1665.20,1676.99,1679.89,1661.29,,-0.70%
01/23/2012,1677.00,1666.68,1681.66,1662.59,,0.61%
01/20/2012,1666.90,1657.79,1667.11,1644.69,,0.56%
01/19/2012,1657.60,1659.70,1670.15,1648.94,,-0.22%
01/18/2012,1661.25,1652.20,1662.50,1642.74,,0.58%
01/17/2012,1651.74,1643.84,1667.87,1641.45,,0.51%
01/16/2012,1643.40,1639.68,1647.35,1631.44,,0.25%
01/13/2012,1639.35,1650.66,1650.75,1626.06,,-0.65%
01/12/2012,1650.10,1640.64,1662.12,1640.39,,0.51%
01/11/2012,1641.80,1632.39,1647.40,1630.29,,0.63%
01/10/2012,1631.56,1611.57,1640.27,1608.62,,1.24%
01/09/2012,1611.50,1616.78,1623.69,1604.94,,-0.33%
01/06/2012,1616.85,1621.44,1630.56,1608.89,,-0.38%
01/05/2012,1623.00,1611.39,1625.86,1596.74,,0.66%
